"","hgnc","ensembl_gene_id","entrez","chromosome","start_position","end_position","strand"
"40","APOBEC3G","ENSG00000239713",60489,"22",39077067,39087743,"+"
"41","CD38","ENSG00000004468",952,"4",15778275,15853232,"+"
"42","CDKN1C","ENSG00000273707",1028,"11",2883213,2885775,"-"
"43","SAMD9","ENSG00000205413",54809,"7",93099513,93118023,"-"
"44","APOL6","ENSG00000221963",80830,"22",35648446,35668404,"+"
"45","SAMD9L","ENSG00000177409",219285,"7",93130056,93148385,"-"
"46","NCF1","ENSG00000158517",653361,"7",74774011,74789315,"+"
"47","ASCL2","ENSG00000183734",430,"11",2268498,2270588,"-"
"48","UBA7","ENSG00000182179",7318,"3",49805209,49813953,"-"
"49","NCF1C","ENSG00000296524",654817,"7",75156578,75172002,"-"
"50","ATP10A","ENSG00000206190",57194,"15",25677273,25865184,"-"
"51","DHX58","ENSG00000108771",79132,"17",42101404,42112714,"-"
"52","NCF1B","ENSG00000290838",654816,"7",73220583,73236006,"+"
"53","SIGLEC1","ENSG00000088827",6614,"20",3686970,3712600,"-"
"54","SP110","ENSG00000135899",3431,"2",230165186,230225729,"-"
"55","TRIM5","ENSG00000132256",85363,"11",5663195,5938619,"-"
"56","TAP1","ENSG00000227816",6890,"6",32845209,32853816,"-"
"57","STAT1","ENSG00000115415",6772,"2",190908460,191020960,"-"
"58","RET","ENSG00000165731",5979,"10",43077064,43130351,"+"
"59","EPSTI1","ENSG00000133106",94240,"13",42886388,42992271,"-"
"60","NLRC5","ENSG00000140853",84166,"16",56989485,57083531,"+"
"61","TRIM22","ENSG00000132274",10346,"11",5689610,5737089,"+"
"62","DSP","ENSG00000096696",1832,"6",7541326,7586717,"+"
"63","373856",NA,373856,NA,NA,NA,NA
"64","TNFSF13B","ENSG00000102524",10673,"13",108251240,108308484,"+"
"65","IL15RA","ENSG00000134470",3601,"10",5943639,5978187,"-"
"66","PML","ENSG00000140464",5371,"15",73994673,74047827,"+"
"67","CALHM6","ENSG00000188820",441168,"6",116461370,116463771,"+"
"68","IFI44","ENSG00000137965",10561,"1",78649796,78664078,"+"
"69","RNF213","ENSG00000173821",57674,"17",80260852,80398794,"+"
"70","OAS3","ENSG00000111331",4940,"12",112938051,112976460,"+"
"71","HERC6","ENSG00000138642",55008,"4",88378739,88443097,"+"
"72","OAS1","ENSG00000089127",4938,"12",112905856,112933219,"+"
"73","LAMB1","ENSG00000091136",3912,"7",107923799,108003213,"-"
"74","STAT2","ENSG00000170581",6773,"12",56341597,56360203,"-"
"75","AXL","ENSG00000167601",558,"19",41219223,41261766,"+"
"76","PPM1K","ENSG00000163644",152926,"4",88257620,88284769,"-"
"77","GBP3","ENSG00000117226",2635,"1",89006666,89022894,"-"
"78","PARP10","ENSG00000178685",84875,"8",143977153,144012772,"-"
"79","GBP2","ENSG00000162645",2634,"1",89106132,89150456,"-"
"80","WARS1","ENSG00000140105",7453,"14",100333790,100376805,"-"
"81","NEXN","ENSG00000162614",91624,"1",77888513,77943895,"+"
"82","NKAIN1","ENSG00000084628",79570,"1",31179745,31239887,"-"
"83","PSMB8-AS1","ENSG00000204261",100507463,"6",32844078,32846500,"+"
"84","CCL7","ENSG00000108688",6354,"17",34270221,34272242,"+"
"85","TRANK1","ENSG00000168016",9881,"3",36826819,36945057,"-"
"86","DDX60","ENSG00000137628",55601,"4",168216291,168318883,"-"
"87","FXYD6","ENSG00000137726",53826,"11",117836976,117877486,"-"
"88","GPBAR1","ENSG00000179921",151306,"2",218259496,218263861,"+"
"89","HPSE","ENSG00000173083",10855,"4",83292461,83335153,"-"
"90","PLAAT4","ENSG00000133321",5920,"11",63536808,63548808,"+"
"91","TLR3","ENSG00000164342",7098,"4",186068911,186088073,"+"
"92","3137",NA,3137,NA,NA,NA,NA
"93","BAHCC1","ENSG00000291421",57597,"17",81395457,81466331,"+"
"94","MNDA","ENSG00000163563",4332,"1",158831351,158849506,"+"
"95","LGALS3BP","ENSG00000108679",3959,"17",78971238,78979947,"-"
"96","SP140","ENSG00000079263",11262,"2",230203110,230313215,"+"
"97","112268296",NA,112268296,NA,NA,NA,NA
"98","IL1RN","ENSG00000136689",3557,"2",113099315,113134016,"+"
"99","LAMP3","ENSG00000078081",27074,"3",183122215,183163839,"-"
"100","100652768",NA,100652768,NA,NA,NA,NA
"101","SERPING1","ENSG00000149131",710,"11",57597387,57619171,"+"
"102","FAM247A","ENSG00000290961",105372935,"22",21192787,21204034,"-"
"103","KIAA1671","ENSG00000197077",85379,"22",24952716,25197448,"+"
"104","DDX60L","ENSG00000181381",91351,"4",168356735,168537786,"-"
"105","RNF213-AS1","ENSG00000263069",100294362,"17",80351828,80415168,"-"
"106","GCH1","ENSG00000131979",2643,"14",54842008,54902826,"-"
"107","TRAFD1","ENSG00000135148",10906,"12",112125538,112153604,"+"
"108","PARP9","ENSG00000138496",83666,"3",122527924,122564577,"-"
"109","ZNFX1","ENSG00000124201",57169,"20",49237946,49278426,"-"
"110","UBE2L6","ENSG00000156587",9246,"11",57551656,57568284,"-"
"111","PNPT1","ENSG00000138035",87178,"2",55634061,55693863,"-"
"112","CNP","ENSG00000173786",1267,"17",41966763,41977740,"+"
"113","MT2A","ENSG00000125148",4502,"16",56608584,56609497,"+"
"114","SEPTIN4","ENSG00000108387",5414,"17",58520250,58544368,"-"
"115","JUP","ENSG00000173801",3728,"17",41754604,41786931,"-"
"116","IFITM2","ENSG00000185201",10581,"11",303655,309397,"+"
"117","EIF2AK2","ENSG00000055332",5610,"2",37099210,37157522,"-"
"118","JADE2","ENSG00000043143",23338,"5",134524312,134583230,"+"
"119","SCIMP","ENSG00000161929",388325,"17",5208920,5234860,"-"
"120","SLFN12L","ENSG00000205045",100506736,"17",35464249,35537683,"-"
"121","XRN1","ENSG00000114127",54464,"3",142306607,142448062,"-"
"122","SHFL","ENSG00000130813",55337,"19",10086122,10093252,"+"
"123","RUBCN","ENSG00000145016",9711,"3",197668867,197749727,"-"
"124","MAP2K6","ENSG00000108984",5608,"17",69414697,69553865,"+"
"125","IRF1","ENSG00000125347",3659,"5",132440440,132508719,"-"
"126","100131733",NA,100131733,NA,NA,NA,NA
"127","CXCL12","ENSG00000107562",6387,"10",44370165,44386493,"-"
"128","IRF7","ENSG00000276561",3665,"11",612553,615983,"-"
"129","NMI","ENSG00000123609",9111,"2",151270470,151289894,"-"
"130","TOR1B","ENSG00000136816",27348,"9",129803157,129811281,"+"
"131","PARP14","ENSG00000173193",54625,"3",122680839,122730840,"+"
"132","107984200",NA,107984200,NA,NA,NA,NA
"133","EXOC3L1","ENSG00000179044",283849,"16",67184379,67190185,"-"
"134","NOD2","ENSG00000167207",64127,"16",50693588,50733077,"+"
"135","FBXO6","ENSG00000116663",26270,"1",11664200,11674354,"+"
"136","TMEM268","ENSG00000157693",203197,"9",114611206,114646422,"+"
"137","ZNF618","ENSG00000157657",114991,"9",113876282,114056593,"+"
"138","HLA-E","ENSG00000204592",3133,"6",30489509,30494194,"+"
"139","112268267",NA,112268267,NA,NA,NA,NA
"140","GRIN3A","ENSG00000198785",116443,"9",101569352,101738647,"-"
"141","CCNA1","ENSG00000133101",8900,"13",36431520,36442870,"+"
"142","TAP2","ENSG00000225967",6891,"6",32821833,32838739,"-"
"143","PLSCR1","ENSG00000188313",5359,"3",146515180,146544856,"-"
"144","IFIT5","ENSG00000152778",24138,"10",89414568,89421605,"+"
"145","CKB","ENSG00000166165",1152,"14",103519667,103522833,"-"
"146","FGD2","ENSG00000146192",221472,"6",37005646,37029299,"+"
"147","HEG1","ENSG00000173706",57493,"3",124965710,125055997,"-"
"148","TRIM25","ENSG00000121060",7706,"17",56836387,56914080,"-"
"149","GIMAP4","ENSG00000133574",55303,"7",150567369,150573953,"+"
"150","CLDN23","ENSG00000285098",137075,"8",8701937,8704096,"+"
"151","MASTL","ENSG00000120539",84930,"10",27154824,27187953,"+"
"152","SEMA4D","ENSG00000187764",10507,"9",89360787,89498130,"-"
"153","PAQR8","ENSG00000170915",85315,"6",52361421,52407777,"+"
"154","LAP3","ENSG00000002549",51056,"4",17577198,17607972,"+"
"155","GIMAP8","ENSG00000171115",155038,"7",150450630,150479393,"+"
"156","PI4K2B","ENSG00000038210",55300,"4",25160663,25279204,"+"
"157","STOML1","ENSG00000067221",9399,"15",73978926,73994622,"-"
"158","UNC93B1","ENSG00000110057",81622,"11",67991100,68004982,"-"
"159","PSMB8","ENSG00000230669",5696,"6",32840717,32844679,"-"
"160","STAG3","ENSG00000066923",10734,"7",100177563,100214387,"+"
"161","GRAMD1B","ENSG00000023171",57476,"11",123358428,123627774,"+"
"162","NTNG2","ENSG00000196358",84628,"9",132162058,132244526,"+"
"163","CASP10","ENSG00000003400",843,"2",201182872,201229428,"+"
"164","TENT5A","ENSG00000112773",55603,"6",81491439,81752774,"-"
"165","MMP13","ENSG00000137745",4322,"11",102942995,102955732,"-"
"166","PECAM1","ENSG00000261371",5175,"17",64319415,64413776,"-"
"167","CMTR1","ENSG00000137200",23070,"6",37433219,37482827,"+"
"168","DTX3L","ENSG00000163840",151636,"3",122564338,122575203,"+"
"169","OPTN","ENSG00000123240",10133,"10",13099449,13138308,"+"
"170","IL4I1","ENSG00000104951",259307,"19",49889654,49929539,"-"
"171","SLC25A28","ENSG00000155287",81894,"10",99610519,99622793,"-"
"172","105372942","ENSG00000288811",105372942,"22",18348975,18361192,"+"
"173","CBR1","ENSG00000159228",873,"21",36069941,36073166,"+"
"174","NCOA7","ENSG00000111912",135112,"6",125781161,125932034,"+"
"175","RBMS2","ENSG00000076067",5939,"12",56521820,56596193,"+"
"176","JAK2","ENSG00000096968",3717,"9",4984390,5129948,"+"
"177","ATF5","ENSG00000169136",22809,"19",49928702,49933935,"+"
"178","441108",NA,441108,NA,NA,NA,NA
"179","HSH2D","ENSG00000196684",84941,"19",16134028,16158575,"+"
"180","GIMAP6","ENSG00000133561",474344,"7",150625375,150632648,"-"
"181","SRGAP2C","ENSG00000171943",653464,"1",121184811,121392874,"+"
"182","NFE2L3","ENSG00000050344",9603,"7",26152198,26187137,"+"
"183","SRGAP2","ENSG00000266028",23380,"1",206203346,206464436,"+"
"184","NAMPT","ENSG00000105835",10135,"7",106248298,106285966,"-"
"185","SELL","ENSG00000188404",6402,"1",169690665,169711702,"-"
"186","BTN3A3","ENSG00000111801",10384,"6",26440472,26453415,"+"
"187","KLK10","ENSG00000129451",5655,"19",51012739,51020175,"-"
"188","PLAAT3","ENSG00000176485",11145,"11",63573195,63616883,"-"
"189","CRYBB3","ENSG00000100053",1417,"22",25199858,25207359,"+"
"190","SSB","ENSG00000138385",6741,"2",169791933,169812064,"+"
"191","105377182","ENSG00000297197",105377182,"22",18758532,18769809,"-"
"192","TDRD7","ENSG00000196116",23424,"9",97412096,97496125,"+"
"193","TRIM31","ENSG00000224542",11074,"6",30102897,30113090,"-"
"194","RUFY4","ENSG00000188282",285180,"2",218034960,218090584,"+"
"195","DENND5A","ENSG00000184014",23258,"11",9138825,9265959,"-"
"196","RBCK1","ENSG00000125826",10616,"20",407498,432139,"+"
"197","PSME2","ENSG00000284889",5721,"14",24143362,24147570,"-"
"198","MDGA1","ENSG00000112139",266727,"6",37630679,37699306,"-"
"199","PHACTR4","ENSG00000204138",65979,"1",28369582,28500364,"+"
"200","PRKD2","ENSG00000105287",25865,"19",46674275,46717127,"-"
"201","APOBEC3F","ENSG00000128394",200316,"22",39040604,39055972,"+"
"202","EPHB2","ENSG00000133216",2048,"1",22710839,22921500,"+"
"203","LGALS17A","ENSG00000291086",400696,"19",39671807,39696913,"+"
"204","TNK2","ENSG00000061938",10188,"3",195863364,195911945,"-"
"205","RBM43","ENSG00000184898",375287,"2",151247940,151261863,"-"
"206","FADS1","ENSG00000149485",3992,"11",61799627,61829318,"-"
"207","KIAA0040","ENSG00000235750",9674,"1",175156986,175192999,"-"
"208","RERE","ENSG00000142599",473,"1",8352397,8848921,"-"
"209","RTCB","ENSG00000100220",51493,"22",32387582,32412248,"-"
"210","CFH","ENSG00000000971",3075,"1",196651754,196752476,"+"
"211","102723458","ENSG00000304354",102723458,"4",88411483,88515777,"-"
"212","ACSM5","ENSG00000183549",54988,"16",20409534,20441336,"+"
"213","MAP2","ENSG00000078018",4133,"2",209424047,209734147,"+"
"214","ZNF594-DT","ENSG00000261879",100130950,"17",5191999,5255713,"+"
"215","SRGAP2B","ENSG00000196369",647135,"1",144887265,145095528,"-"
"216","APOBEC3B","ENSG00000179750",9582,"22",38982347,38992804,"+"
"217","RNF19B","ENSG00000116514",127544,"1",32936445,32964809,"-"
"218","CASZ1","ENSG00000130940",54897,"1",10636604,10796650,"-"
"219","PSMB10","ENSG00000205220",5699,"16",67934506,67936864,"-"
"220","MYD88","ENSG00000172936",4615,"3",38138552,38143024,"+"
"221","TRIM56","ENSG00000169871",81844,"7",101085481,101097967,"+"
"222","GAREM1","ENSG00000141441",64762,"18",32124877,32470882,"-"
"223","HLA-A","ENSG00000229215",3105,"6",29941260,29949572,"+"
"224","BATF3","ENSG00000123685",55509,"1",212686417,212699840,"-"
"225","CD69","ENSG00000110848",969,"12",9752486,9760901,"-"
"226","SHOX2","ENSG00000168779",6474,"3",158095905,158106420,"-"
"227","CGAS","ENSG00000164430",115004,"6",73413515,73452297,"-"
"228","APOL2","ENSG00000128335",23780,"22",36226209,36239954,"-"
"229","BTN3A1","ENSG00000026950",11119,"6",26402237,26415208,"+"
"230","CAMK1","ENSG00000134072",8536,"3",9757347,9769992,"-"
"231","100133286",NA,100133286,NA,NA,NA,NA
"232","TRIM14","ENSG00000106785",9830,"9",98069275,98119222,"-"
"233","CHST12","ENSG00000136213",55501,"7",2403588,2448484,"+"
"234","FPR2","ENSG00000171049",2358,"19",51752026,51770531,"+"
"235","LGMN","ENSG00000100600",5641,"14",92703807,92748679,"-"
"236","MT1M","ENSG00000205364",4499,"16",56632659,56633981,"+"
"237","PFKP","ENSG00000067057",5214,"10",3066333,3137718,"+"
"238","GTPBP1","ENSG00000100226",9567,"22",38705742,38738299,"+"
"239","SMAD3","ENSG00000166949",4088,"15",67063763,67195173,"+"
"240","STAC3","ENSG00000185482",246329,"12",57243453,57251188,"-"
"241","DLL1","ENSG00000198719",28514,"6",170282206,170306565,"-"
"242","GSDMD","ENSG00000278718",79792,"8",143553207,143563062,"+"
"243","TNFSF18","ENSG00000120337",8995,"1",173039202,173050941,"-"
"244","TNFRSF10D","ENSG00000173530",8793,"8",23135588,23164027,"-"
"245","CLEC5A","ENSG00000258227",23601,"7",141927357,141947007,"-"
"246","TDRD9","ENSG00000156414",122402,"14",103928456,104052667,"+"
"247","ADAR","ENSG00000160710",103,"1",154581695,154628013,"-"
"248","FAM111A","ENSG00000166801",63901,"11",59142748,59155039,"+"
"249","TRIL","ENSG00000255690",9865,"7",28953358,28958330,"-"
"250","TMEM123","ENSG00000152558",114908,"11",102396332,102470384,"-"
"251","TMCC3","ENSG00000057704",57458,"12",94567122,94650557,"-"
"252","TNS1","ENSG00000079308",7145,"2",217799588,218033982,"-"
"253","NPR1","ENSG00000169418",4881,"1",153678688,153693992,"+"
"254","CD274","ENSG00000120217",29126,"9",5450503,5470566,"+"
"255","FXYD6-FXYD2","ENSG00000255245",100533181,"11",117820163,117876667,"-"
"256","NADK","ENSG00000008130",65220,"1",1751232,1780457,"-"
"257","BST2","ENSG00000130303",684,"19",17402939,17405630,"-"
"258","MIR4751","ENSG00000283842",100616483,"19",49933064,49933137,"+"
"259","RABAC1","ENSG00000105404",10567,"19",41956681,41959321,"-"
"260","NUMB","ENSG00000133961",101928143,"14",73275107,73466167,"-"
"261","FOXC1","ENSG00000054598",2296,"6",1609915,1613897,"+"
"262","TRIM26","ENSG00000228881",7726,"6",30184455,30213427,"-"
"263","LINC00996","ENSG00000242258",285972,"7",150433277,150448141,"+"
"264","GIMAP2","ENSG00000106560",26157,"7",150685697,150693641,"+"
"265","TYMP","ENSG00000025708",1890,"22",50525752,50530032,"-"
"266","CASP1","ENSG00000137752",834,"11",105025397,105035250,"-"
"267","CALCOCO2","ENSG00000136436",10241,"17",48831018,48868228,"+"
"268","TAGAP","ENSG00000164691",117289,"6",159034468,159095823,"-"
"269","DOCK8","ENSG00000107099",81704,"9",214854,465259,"+"
"270","TMEM106A","ENSG00000184988",113277,"17",43211835,43220041,"+"
"271","BLZF1","ENSG00000117475",8548,"1",169367970,169396540,"+"
"272","TNFAIP6","ENSG00000123610",7130,"2",151357592,151380046,"+"
"273","STIMATE-MUSTN1","ENSG00000248592",100526772,"3",52833121,52897562,"-"
"274","PRAM1","ENSG00000133246",84106,"19",8490056,8502640,"-"
"275","TRIM34","ENSG00000258659",53840,"11",5619764,5644398,"+"
"276","TBX1","ENSG00000184058",6899,"22",19756703,19783593,"+"
"277","OGFR","ENSG00000060491",11054,"20",62804835,62814000,"+"
"278","OSBPL1A","ENSG00000141447",114876,"18",24162045,24397880,"-"
"279","BBX","ENSG00000114439",56987,"3",107522936,107811339,"+"
"280","HIVEP2","ENSG00000010818",3097,"6",142751469,142956698,"-"
"281","VNN1","ENSG00000112299",8876,"6",132680849,132714055,"-"
"282","MIR5193","ENSG00000283726",100847079,"3",49806137,49806245,"-"
"283","APOBEC3B-AS1","ENSG00000262679",100874530,"22",38991559,38998209,"-"
"284","IL10RA","ENSG00000110324",3587,"11",117986370,118003037,"+"
"285","NFIX","ENSG00000008441",4784,"19",12995475,13098796,"+"
"286","TRIM6-TRIM34","ENSG00000258588",445372,"11",5596725,5644398,"+"
"287","ETV7","ENSG00000010030",51513,"6",36354091,36387800,"-"
"288","PARD3","ENSG00000148498",56288,"10",34109560,34815325,"-"
"289","BAZ1A","ENSG00000198604",11177,"14",34752731,34875647,"-"
"290","B3GNT7","ENSG00000156966",93010,"2",231395671,231408799,"+"
"291","SLFN5","ENSG00000166750",162394,"17",35243071,35273655,"+"
"292","TINF2","ENSG00000284915",26277,"14",24238286,24242663,"-"
"293","IL1B","ENSG00000125538",3553,"2",112829751,112836816,"-"
"294","105379548","ENSG00000303588",105379548,NA,NA,NA,NA
"295","PZP","ENSG00000126838",5858,"12",9148840,9208395,"-"
"296","TMEM140","ENSG00000146859",55281,"7",135148072,135166215,"+"
"297","SPATS2L","ENSG00000196141",26010,"2",200305881,200482264,"+"
"298","GBP1P1","ENSG00000290525",400759,"1",89407579,89427272,"+"
"299","SLFN12","ENSG00000172123",55106,"17",35409465,35433475,"-"
"300","ANTXR2","ENSG00000163297",118429,"4",79901146,80125454,"-"
"301","IL15","ENSG00000164136",3600,"4",141636583,141733987,"+"
"302","LYSMD2","ENSG00000140280",256586,"15",51723011,51751585,"-"
"303","GPR155","ENSG00000163328",151556,"2",174431571,174487094,"-"
"304","LRRC3","ENSG00000160233",81543,"21",44455510,44462196,"+"
"305","WIPF3","ENSG00000122574",644150,"7",29806486,29917061,"+"
"306","GCNT1","ENSG00000187210",2650,"9",76419850,76651203,"+"
"307","MIR7703","ENSG00000285146",102465801,"14",24143489,24143565,"-"
"308","HSPA1B","ENSG00000232804",3304,"6",31827738,31830254,"+"
"309","ACOD1","ENSG00000102794",730249,"13",76948511,76958638,"+"
"310","CARD16","ENSG00000204397",114769,"11",105039092,105101431,"-"
"311","SLC20A1","ENSG00000144136",6574,"2",112645939,112663825,"+"
"312","RNASE1","ENSG00000129538",6035,"14",20801228,20802855,"-"
"313","SPTBN5","ENSG00000137877",51332,"15",41848146,41894053,"-"
"314","GALM","ENSG00000143891",130589,"2",38666081,38741237,"+"
"315","CIMAP1B","ENSG00000177989",440836,"22",50529710,50532506,"-"
"316","FUT4","ENSG00000196371",2526,"11",94543921,94549895,"+"
"317","MARCKS","ENSG00000277443",4082,"6",113857345,113863475,"+"
"318","PCGF5","ENSG00000180628",84333,"10",91163012,91284337,"+"
"319","HEXD","ENSG00000169660",284004,"17",82418318,82442645,"+"
"320","MXRA5","ENSG00000101825",25878,"X",3308565,3346652,"-"
"321","CCL4L2","ENSG00000293547",9560,"17",36210924,36212878,"+"
"322","GADD45B","ENSG00000099860",4616,"19",2476122,2478805,"+"
"323","GBP5","ENSG00000154451",115362,"1",89256189,89272860,"-"
"324","CD163","ENSG00000177575",9332,"12",7470811,7503893,"-"
"325","HLA-H","ENSG00000231904",3136,"6",29887752,29890482,"+"
"326","RIN2","ENSG00000132669",54453,"20",19757606,20002457,"+"
"327","PLAAT2","ENSG00000133328",54979,"11",63552770,63563379,"-"
"328","CD28","ENSG00000178562",940,"2",203706517,203739756,"+"
"329","IL27","ENSG00000197272",246778,"16",28499362,28512051,"-"
"330","HIP1","ENSG00000127946",3092,"7",75533298,75738962,"-"
"331","RABGAP1L","ENSG00000152061",9910,"1",174159410,174995308,"+"
"332","TENT4A","ENSG00000112941",11044,"5",6713432,6757044,"+"
"333","CPED1","ENSG00000106034",79974,"7",120988697,121297442,"+"
"334","CD47","ENSG00000196776",961,"3",108043091,108091862,"-"
"335","H2BC21","ENSG00000184678",8349,"1",149884459,149886682,"-"
"336","MCUB","ENSG00000005059",55013,"4",109560209,109688719,"+"
"337","BLVRA","ENSG00000106605",644,"7",43758680,43807342,"+"
"338","TJP1","ENSG00000277401",7082,"15",29699367,29968915,"-"
"339","TLE4","ENSG00000106829",7091,"9",79571773,79726882,"+"
"340","FCGR2B","ENSG00000072694",2213,"1",161663143,161678654,"+"
"341","RAB24","ENSG00000169228",53917,"5",177301198,177303744,"-"
"342","CD40","ENSG00000101017",958,"20",46118271,46129863,"+"
"343","TBX3","ENSG00000135111",6926,"12",114670255,114684175,"-"
"344","CASP7","ENSG00000165806",840,"10",113679162,113730907,"+"
"345","MED25","ENSG00000104973",81857,"19",49818282,49840383,"+"
"346","DYNLT1","ENSG00000146425",6993,"6",158636474,158644743,"-"
"347","MSX1","ENSG00000163132",4487,"4",4859665,4863936,"+"
"348","ZCCHC2","ENSG00000141664",54877,"18",62523025,62587709,"+"
"349","TRIM21","ENSG00000132109",6737,"11",4384897,4393702,"-"
"350","DNAAF1","ENSG00000154099",123872,"16",84145287,84178767,"+"
"351","TLN2","ENSG00000171914",83660,"15",62390526,62844631,"+"
"352","NECTIN3","ENSG00000177707",25945,"3",111070071,111275563,"+"
"353","ARHGEF4","ENSG00000136002",50649,"2",130836914,131047263,"+"
"354","SP100","ENSG00000067066",6672,"2",230415942,230545606,"+"
"355","SP140L","ENSG00000185404",93349,"2",230327184,230403732,"+"
"356","MLKL","ENSG00000168404",197259,"16",74671855,74700960,"-"
"357","RGL1","ENSG00000143344",23179,"1",183636085,183928532,"+"
"358","HSPA1A","ENSG00000204389",3303,"6",31815543,31817946,"+"
"359","IL1A","ENSG00000115008",3552,"2",112773925,112784493,"-"
"360","SECTM1","ENSG00000141574",6398,"17",82321024,82334074,"-"
"361","NUB1","ENSG00000013374",51667,"7",151341772,151378449,"+"
"362","NR4A3","ENSG00000119508",8013,"9",99821855,99866891,"+"
"363","RRBP1","ENSG00000125844",6238,"20",17613678,17682295,"-"
"364","100419583",NA,100419583,NA,NA,NA,NA
"365","STIMATE","ENSG00000213533",375346,"3",52836219,52897548,"-"
"366","VSIG10L","ENSG00000186806",147645,"19",51331536,51342139,"-"
"367","101928716",NA,101928716,NA,NA,NA,NA
"368","203274",NA,203274,NA,NA,NA,NA
"369","EPHA7","ENSG00000135333",2045,"6",93240020,93419687,"-"
"370","CXCL8","ENSG00000169429",3576,"4",73740519,73743716,"+"
"371","105371622","ENSG00000287697",105371622,"1",174997479,174999963,"-"
"372","SPHK1","ENSG00000176170",8877,"17",76376584,76387860,"+"
"373","CCL22","ENSG00000102962",6367,"16",57358783,57366189,"+"
"374","SAT1","ENSG00000130066",6303,"X",23783173,23786210,"+"
"375","CASTOR3P","ENSG00000291122",352954,"7",100188087,100272218,"-"
"376","SLC27A3","ENSG00000263163",11000,"1",153774354,153780157,"+"
"377","GNB4","ENSG00000114450",59345,"3",179396088,179451476,"-"
"378","ARAP3","ENSG00000120318",64411,"5",141653401,141682230,"-"
"379","MLLT11","ENSG00000213190",10962,"1",151060397,151069544,"+"
"380","CR1L","ENSG00000197721",1379,"1",207645113,207738416,"+"
"381","MUC1","ENSG00000185499",4582,"1",155185824,155192916,"-"
"382","C17orf67","ENSG00000214226",339210,"17",56791913,56838773,"-"
"383","NAGK","ENSG00000124357",55577,"2",71064344,71079808,"+"
"384","DANCR","ENSG00000226950",57291,"4",52712325,52723623,"+"
"385","HACD4","ENSG00000188921",401494,"9",20999509,21031640,"-"
"386","ALDH1L2","ENSG00000136010",160428,"12",105019784,105107643,"-"
"387","SEMA4A","ENSG00000196189",64218,"1",156147366,156177752,"+"
"388","PDCD1","ENSG00000276977",5133,"2",241849884,241858894,"-"
"389","ANKIB1","ENSG00000001629",54467,"7",92245974,92401383,"+"
"390","MARCHF1","ENSG00000145416",55016,"4",163524298,164384050,"-"
"391","SLC19A1","ENSG00000173638",6573,"21",45493572,45573365,"-"
"392","NCAPH","ENSG00000121152",23397,"2",96335766,96377091,"+"
